Graduate Research Seminar,ALS,112,990,9,4,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Graduate Research Seminar,ALS,112,990,14,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Graduate Research Seminar,ALS,112,990,18,6,,"[None, None, None, None, None, None, None, None, None, None, None, 100.0, None, None, None]"
Graduate Research Seminar,ALS,112,990,25,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Graduate Research Seminar,ALS,112,990,30,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Graduate Research Seminar,ALS,112,990,31,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Graduate Research Seminar,ALS,112,990,33,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Graduate Research Seminar,ALS,112,990,35,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Graduate Research Seminar,ALS,112,990,36,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Graduate Research Seminar,ALS,112,990,38,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Graduate Research Seminar,ALS,112,990,39,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
LIFE SCIENCES COMMUNICATIO,ALS,120,100,1,17,3.647,"[64.7, 23.5, 5.9, None, None, 5.9, None, None, None, None, None, None, None, None, None]"
LIFE SCIENCES COMMUNICATIO,ALS,120,100,2,16,3.531,"[50.0, 31.3, 12.5, None, None, 6.3, None, None, None, None, None, None, None, None, None]"
LIFE SCIENCES COMMUNICATIO,ALS,120,100,3,16,3.656,"[62.5, 12.5, 18.8, 6.3, None, None, None, None, None, None, None, None, None, None, None]"
LIFE SCIENCES COMMUNICATIO,ALS,120,100,4,15,3.933,"[93.3, None, 6.7, None, None, None, None, None, None, None, None, None, None, None, None]"
LIFE SCIENCES COMMUNICATIO,ALS,120,100,5,15,3.9,"[86.7, 6.7, 6.7, None, None, None, None, None, None, None, None, None, None, None, None]"
LIFE SCIENCES COMMUNICATIO,ALS,120,100,6,14,3.821,"[71.4, 21.4, 7.1, None, None, None, None, None, None, None, None, None, None, None, None]"
LIFE SCIENCES COMMUNICATIO,ALS,120,100,7,16,3.656,"[50.0, 37.5, 6.3, 6.3, None, None, None, None, None, None, None, None, None, None, None]"
LIFE SCIENCES COMMUNICATIO,ALS,120,100,8,16,3.656,"[75.0, 6.3, None, 12.5, 6.3, None, None, None, None, None, None, None, None, None, None]"
LIFE SCIENCES COMMUNICATIO,ALS,120,100,9,17,3.676,"[58.8, 23.5, 11.8, 5.9, None, None, None, None, None, None, None, None, None, None, None]"
LIFE SCIENCES COMMUNICATIO,ALS,120,100,10,14,3.321,"[35.7, 21.4, 21.4, 14.3, 7.1, None, None, None, None, None, None, None, None, None, None]"
LIFE SCIENCES COMMUNICATIO,ALS,120,100,11,16,3.719,"[81.3, 6.3, 6.3, None, None, 6.3, None, None, None, None, None, None, None, None, None]"
LIFE SCIENCES COMMUNICATIO,ALS,120,100,12,15,3.933,"[93.3, None, 6.7, None, None, None, None, None, None, None, None, None, None, None, None]"
LIFE SCIENCES COMMUNICATIO,ALS,120,100,13,16,3.469,"[50.0, 25.0, 12.5, 6.3, None, 6.3, None, None, None, None, None, None, None, None, None]"
LIFE SCIENCES COMMUNICATIO,ALS,120,100,14,16,3.594,"[68.8, 6.3, 18.8, None, None, 6.3, None, None, None, None, None, None, None, None, None]"
Sci&Technology Newswriting,ALS,120,111,1,18,3.176,"[22.2, 16.7, 44.4, 5.6, None, 5.6, None, None, None, None, None, None, 5.6, None, None]"
Sci&Technology Newswriting,ALS,120,212,1,18,3.861,"[72.2, 27.8, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Sci&Technology Newswriting,ALS,120,212,2,19,3.868,"[84.2, 5.3, 10.5, None, None, None, None, None, None, None, None, None, None, None, None]"
Intro-Scientific Communication,ALS,120,250,1,26,3.538,"[50.0, 23.1, 11.5, 15.4, None, None, None, None, None, None, None, None, None, None, None]"
Intro-Scientific Communication,ALS,120,250,2,28,3.679,"[60.7, 25.0, 7.1, 3.6, 3.6, None, None, None, None, None, None, None, None, None, None]"
"Science, Media and Society",ALS,120,251,1,117,3.185,"[29.1, 30.8, 17.1, 6.0, 10.3, 5.1, 0.9, None, None, None, None, None, 0.9, None, None]"
Comm in Life Sci Industries,ALS,120,270,1,25,3.74,"[72.0, 12.0, 8.0, 8.0, None, None, None, None, None, None, None, None, None, None, None]"
Intro to Digital Video Prod,ALS,120,314,1,13,3.5,"[61.5, 15.4, 7.7, 7.7, None, 7.7, None, None, None, None, None, None, None, None, None]"
Print&Electronic Media Dsgn,ALS,120,332,1,26,3.654,"[50.0, 30.8, 19.2, None, None, None, None, None, None, None, None, None, None, None, None]"
Information Radio,ALS,120,360,1,9,3.778,"[66.7, 22.2, 11.1, None, None, None, None, None, None, None, None, None, None, None, None]"
Coord Intrnshp/Cooprtv Educ,ALS,120,399,3,6,4,"[100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Social Media for Life Sciences,ALS,120,432,1,38,3.419,"[28.9, 42.1, 15.8, 2.6, 7.9, None, None, None, None, None, None, None, 2.6, None, None]"
Integrated Marktng Communicatn,ALS,120,435,1,11,3.636,"[72.7, 18.2, None, None, None, 9.1, None, None, None, None, None, None, None, None, None]"
Photography for the Sciences,ALS,120,450,1,22,3.69,"[63.6, 13.6, 9.1, 9.1, None, None, None, None, None, None, None, None, 4.5, None, None]"
Ag Marketing NAMA,ALS,120,477,1,20,4,"[100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Social Marketing of Sciences,ALS,120,515,1,24,3.521,"[66.7, 8.3, 12.5, 4.2, 4.2, None, 4.2, None, None, None, None, None, None, None, None]"
Scientific Writing,ALS,120,560,1,15,3.8,"[80.0, 13.3, None, None, 6.7, None, None, None, None, None, None, None, None, None, None]"
Hlth Communication-Info Age,ALS,120,617,1,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Case Studies-Com of Sci & Tech,ALS,120,640,1,15,3.767,"[73.3, 6.7, 20.0, None, None, None, None, None, None, None, None, None, None, None, None]"
Data Analysis-Comm Research,ALS,120,660,1,11,3.409,"[72.7, None, 9.1, 9.1, None, None, 9.1, None, None, None, None, None, None, None, None]"
Special Problems,ALS,120,699,7,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Colloq in Life Sci Communicatn,ALS,120,700,1,19,,"[None, None, None, None, None, None, None, None, 0.1, 0.0, None, None, None, None, None]"
Sci & Envir Communication,ALS,120,823,1,11,3.955,"[90.9, 9.1, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Journalism Theory,ALS,120,826,1,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Topics in Mass Communication,ALS,120,880,1,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Topics in Mass Communication,ALS,120,990,2,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Topics in Mass Communication,ALS,120,990,4,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Topics in Mass Communication,ALS,120,990,5,4,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Topics in Mass Communication,ALS,120,990,7,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Topics in Mass Communication,ALS,120,990,8,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Independent Research,ALS,120,999,4,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Agroecology Seminar,ALS,130,710,1,9,,"[None, None, None, None, None, None, None, None, 0.1, 0.0, None, None, None, None, None]"
Agroecology Seminar,ALS,130,990,1,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
