,#1,#2,#3,#4,#5,#6,#7,#8
5751,Career Colloquium,L&S,512,601,001,65,,"[None, None, None, None, None, None, None, None, 0.9, 6.9, 3.1, None, None, None, None]"
5752,Communicatn&Public Opinion,L&S,512,614,001,76,3.747,"[59.2, 30.3, 7.9, 1.3, None, None, None, 1.3, None, None, None, None, None, None, None]"
5753,International Communication,L&S,512,620,001,25,3.6,"[36.0, 48.0, 16.0, None, None, None, None, None, None, None, None, None, None, None, None]"
5754,Literary Aspects of Journ,L&S,512,669,001,51,3.843,"[74.5, 19.6, 5.9, None, None, None, None, None, None, None, None, None, None, None, None]"
5755,Topics-Govt & Mass Media,L&S,512,675,001,22,3.682,"[54.5, 36.4, 4.5, None, 4.5, None, None, None, None, None, None, None, None, None, None]"
5756,Topics-Mass Communication,L&S,512,676,022,14,3.607,"[35.7, 50.0, 14.3, None, None, None, None, None, None, None, None, None, None, None, None]"
5757,Concepts and Tools for Data An,L&S,512,677,001,20,3.895,"[75.0, 20.0, None, None, None, None, None, None, None, None, None, None, 5.0, None, None]"
5758,Senior Honors Thesis,L&S,512,681,021,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5759,Senior Honors Thesis,L&S,512,682,009,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5760,Senior Honors Thesis,L&S,512,682,033,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5761,Senior Honors Thesis,L&S,512,697,005,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5762,Senior Honors Thesis,L&S,512,697,006,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5763,Senior Honors Thesis,L&S,512,697,007,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5764,Senior Honors Thesis,L&S,512,697,009,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5765,Senior Honors Thesis,L&S,512,697,018,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5766,Senior Honors Thesis,L&S,512,697,021,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5767,Senior Honors Thesis,L&S,512,697,036,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5768,Senior Honors Thesis,L&S,512,697,051,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5769,JOURN AND MASS COMMUNICA,L&S,512,697,076,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5770,JOURN AND MASS COMMUNICA,L&S,512,697,077,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5771,Internship,L&S,512,699,005,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5772,Internship,L&S,512,699,006,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5773,Internship,L&S,512,699,008,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5774,Internship,L&S,512,699,009,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5775,Internship,L&S,512,699,012,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5776,Internship,L&S,512,699,016,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5777,Internship,L&S,512,699,018,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5778,Internship,L&S,512,699,050,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5779,Internship,L&S,512,699,051,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5780,Internship,L&S,512,699,076,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5781,Internship,L&S,512,699,093,8,4.0,"[100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5782,Concep&Design-Mass Com Rsch,L&S,512,806,001,9,3.813,"[55.6, 33.3, None, None, None, None, None, None, None, None, None, None, 11.1, None, None]"
5783,Political Communication,L&S,512,829,001,13,3.708,"[53.8, 23.1, 15.4, None, None, None, None, None, None, None, None, None, 7.7, None, None]"
5784,Crit & Cultr Stud-Mass Comm,L&S,512,839,001,9,3.667,"[44.4, 44.4, 11.1, None, None, None, None, None, None, None, None, None, None, None, None]"
5785,Topics in Mass Communication,L&S,512,880,029,16,4.0,"[93.8, None, None, None, None, None, None, None, None, None, None, None, 6.3, None, None]"
5786,Topics in Mass Communication,L&S,512,990,003,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5787,Topics in Mass Communication,L&S,512,990,005,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5788,Topics in Mass Communication,L&S,512,990,008,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5789,Topics in Mass Communication,L&S,512,990,009,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5790,Topics in Mass Communication,L&S,512,990,011,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5791,Topics in Mass Communication,L&S,512,990,012,6,,"[None, None, None, None, None, None, None, 100.0, None, None, None, None, None, None, None]"
5792,Topics in Mass Communication,L&S,512,990,015,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5793,Topics in Mass Communication,L&S,512,990,018,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5794,Topics in Mass Communication,L&S,512,990,019,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5795,Topics in Mass Communication,L&S,512,990,033,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5796,Topics in Mass Communication,L&S,512,990,036,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5797,Topics in Mass Communication,L&S,512,990,050,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5798,Topics in Mass Communication,L&S,512,990,093,4,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5799,Independent Research Prob,L&S,512,999,005,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5800,Introduction to the Qur'an,L&S,521,206,001,10,3.7,"[50.0, 40.0, 10.0, None, None, None, None, None, None, None, None, None, None, None, None]"
5801,SE Asian Refugees of Cold War,L&S,521,246,001,15,3.633,"[40.0, 46.7, 13.3, None, None, None, None, None, None, None, None, None, None, None, None]"
