,#1,#2,#3,#4,#5,#6,#7,#8
93,LIFE SCIENCES COMMUNICATIO,ALS,120,100,012,15,3.633,"[60.0, 20.0, 13.3, None, 6.7, None, None, None, None, None, None, None, None, None, None]"
94,Sci&Technology Newswriting,ALS,120,111,001,17,3.088,"[35.3, 5.9, 35.3, None, 17.6, 5.9, None, None, None, None, None, None, None, None, None]"
95,Sci&Technology Newswriting,ALS,120,212,001,20,3.675,"[55.0, 25.0, 20.0, None, None, None, None, None, None, None, None, None, None, None, None]"
96,Sci&Technology Newswriting,ALS,120,212,002,19,3.75,"[63.2, 15.8, 15.8, None, None, None, None, None, None, None, None, None, 5.3, None, None]"
97,Rsrch Mthd: Commun Indstry,ALS,120,250,001,56,3.054,"[17.9, 26.8, 26.8, 12.5, 12.5, 3.6, None, None, None, None, None, None, None, None, None]"
98,Comm in Life Sci Industries,ALS,120,270,001,41,3.659,"[46.3, 43.9, 7.3, None, 2.4, None, None, None, None, None, None, None, None, None, None]"
99,Intro to Digital Video Prod,ALS,120,314,001,21,3.857,"[71.4, 28.6, None, None, None, None, None, None, None, None, None, None, None, None, None]"
100,Print&Electronic Media Dsgn,ALS,120,332,001,19,3.737,"[47.4, 52.6, None, None, None, None, None, None, None, None, None, None, None, None, None]"
101,Visualizing Sci & Technology,ALS,120,350,001,41,3.646,"[65.9, 7.3, 17.1, 9.8, None, None, None, None, None, None, None, None, None, None, None]"
102,Information Radio,ALS,120,360,001,20,3.725,"[55.0, 35.0, 10.0, None, None, None, None, None, None, None, None, None, None, None, None]"
103,Information Radio,ALS,120,399,012,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
104,Information Radio,ALS,120,399,040,7,3.238,"[85.7, None, None, None, 14.3, None, None, None, None, None, None, None, None, None, None]"
105,Advertising in Life Sciences,ALS,120,431,001,30,3.65,"[46.7, 43.3, 6.7, None, 3.3, None, None, None, None, None, None, None, None, None, None]"
106,Contemp Comm Tech&Soc Effct,ALS,120,440,001,36,3.583,"[44.4, 36.1, 13.9, 2.8, 2.8, None, None, None, None, None, None, None, None, None, None]"
107,Web Design for the Sciences,ALS,120,532,001,19,3.711,"[52.6, 36.8, 10.5, None, None, None, None, None, None, None, None, None, None, None, None]"
108,Risk Communication,ALS,120,625,001,31,3.417,"[25.8, 35.5, 29.0, 6.5, None, None, None, None, None, None, None, None, 3.2, None, None]"
109,Case Studies-Com of Sci & Tech,ALS,120,640,001,16,3.563,"[50.0, 25.0, 18.8, None, 6.3, None, None, None, None, None, None, None, None, None, None]"
110,Data Analysis-Comm Research,ALS,120,660,001,7,3.857,"[85.7, None, 14.3, None, None, None, None, None, None, None, None, None, None, None, None]"
111,Sci & Envir Communication,ALS,120,860,001,13,3.909,"[76.9, None, 7.7, None, None, None, None, None, None, None, None, None, 15.4, None, None]"
112,Topics in Mass Communication,ALS,120,880,033,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
113,Colloquium:Mass Communicatn,ALS,120,901,001,6,,"[None, None, None, None, None, None, None, None, 0.1, 0.0, None, None, None, None, None]"
114,Colloquium:Mass Communicatn,ALS,120,990,010,4,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
115,Colloquium:Mass Communicatn,ALS,120,990,025,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
116,Colloquium:Mass Communicatn,ALS,120,990,038,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
117,Research,ALS,120,999,010,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
118,Research,ALS,120,999,013,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
119,Managed Grazing Field Study,ALS,130,371,001,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
120,Agroecology Seminar,ALS,130,710,001,21,,"[None, None, None, None, None, None, None, None, 0.1, 0.0, None, None, None, None, None]"
121,Agroecology Field Study,ALS,130,720,001,10,4.0,"[100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
122,Agroecosystems & Global Chng,ALS,130,724,001,11,3.682,"[45.5, 45.5, 9.1, None, None, None, None, None, None, None, None, None, None, None, None]"
123,Agroecosystems & Global Chng,ALS,130,990,002,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
124,Agroecosystems & Global Chng,ALS,130,990,003,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
125,Agroecosystems & Global Chng,ALS,130,990,006,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
126,Agroecosystems & Global Chng,ALS,130,990,009,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
127,Prin & Prac-Crop Production,ALS,132,100,001,87,3.357,"[18.4, 41.4, 27.6, 9.2, None, None, None, None, None, None, None, None, None, 1.1, 1.1]"
128,Introduction to Global Health,ALS,132,203,001,43,3.64,"[62.8, 18.6, 11.6, 2.3, 2.3, 2.3, None, None, None, None, None, None, None, None, None]"
129,Introduction to Global Health,ALS,132,299,001,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
130,Introduction to Global Health,ALS,132,299,002,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
131,Introduction to Global Health,ALS,132,299,003,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
132,Introduction to Global Health,ALS,132,299,005,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
133,Introduction to Global Health,ALS,132,299,007,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
134,Introduction to Global Health,ALS,132,299,008,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
135,Introduction to Global Health,ALS,132,299,010,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
136,Introduction to Global Health,ALS,132,299,011,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
137,Forage Mgmt & Utilization,ALS,132,302,001,17,3.324,"[35.3, 23.5, 17.6, 17.6, 5.9, None, None, None, None, None, None, None, None, None, None]"
138,Grassland Ecology,ALS,132,370,001,65,3.769,"[64.6, 26.2, 7.7, 1.5, None, None, None, None, None, None, None, None, None, None, None]"
139,Managed Grazing Field Study,ALS,132,371,002,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
140,Special Topics,ALS,132,375,004,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
141,Special Topics,ALS,132,399,002,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
142,Special Topics,ALS,132,399,005,5,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
